33.0769,71.4663,50.7692,47.6202
30.5128,77.6202,50.7692,38.774
27.1795,81.0817,50.7692,35.3125
21.2821,81.4663,50.7692,31.851
16.1538,77.2356,50.7692,26.851
14.359,67.6202,50.7692,20.6971
13.3333,54.5433,61.7949,19.5433
13.3333,49.1587,62.5641,31.851
13.3333,39.5433,63.5897,37.2356
14.359,29.1587,66.1538,50.6971
15.641,22.2356,67.1795,57.2356
19.7436,19.9279,68.7179,63.3894
24.6154,19.9279,69.4872,68.774
29.2308,19.5433,71.5385,75.6971
33.3333,19.5433,72.3077,81.0817
35.3846,22.2356,74.6154,72.6202
37.6923,25.6971,76.4103,64.9279
37.1795,33.0048,76.4103,63.774
36.9231,39.5433,76.6667,58.774
36.6667,46.0817,77.6923,53.0048
35.8974,50.3125,79.2308,46.4663
28.7179,49.9279,80.2564,36.0817
35.1282,51.0817,81.7949,27.6202
32.0513,50.3125,83.0769,21.851
38.7179,23.774,65.8974,44.9279
40.2564,19.5433,69.4872,44.9279
50.7692,83.0048,72.3077,45.3125
50.7692,76.4663,74.1026,45.3125
50.7692,71.4663,74.1026,45.6971
50.7692,61.851,76.6667,45.6971
